HSCode,Commodity,Value,Date
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","2,670.54",12/1/2012
72,IRON AND STEEL,688.45,12/1/2012
73,ARTICLES OF IRON OR STEEL,590.71,12/1/2012
74,COPPER AND ARTICLES THEREOF.,290.13,12/1/2012
75,NICKEL AND ARTICLES THEREOF.,59.45,12/1/2012
76,ALUMINIUM AND ARTICLES THEREOF.,149.47,12/1/2012
78,LEAD AND ARTICLES THEREOF.,8.26,12/1/2012
79,ZINC AND ARTICLES THEREOF.,50.98,12/1/2012
80,TIN AND ARTICLES THEREOF.,0.38,12/1/2012
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,5.62,12/1/2012
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",70.61,12/1/2012
83,MISCELLANEOUS ARTICLES OF BASE METAL.,34.63,12/1/2012
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",967.08,12/1/2012
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",961.72,12/1/2012
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",8.31,12/1/2012
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.","1,085.67",12/1/2012
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",153.42,12/1/2012
89,"SHIPS, BOATS AND FLOATING STRUCTURES.",251.75,12/1/2012
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",188.22,12/1/2012
91,CLOCKS AND WATCHES AND PARTS THEREOF.,6.34,12/1/2012
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,1.15,12/1/2012
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,2.84,12/1/2012
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",75.27,12/1/2012
