HSCode,Commodity,Value,Date
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,146.75,2/1/2007
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.08,2/1/2007
17,SUGARS AND SUGAR CONFECTIONERY.,2.49,2/1/2007
18,COCOA AND COCOA PREPARATIONS.,4.96,2/1/2007
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.25,2/1/2007
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.47,2/1/2007
21,MISCELLANEOUS EDIBLE PREPARATIONS.,2.16,2/1/2007
22,"BEVERAGES, SPIRITS AND VINEGAR.",6.9,2/1/2007
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,5.75,2/1/2007
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.99,2/1/2007
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",69.84,2/1/2007
26,"ORES, SLAG AND ASH.",434.95,2/1/2007
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","4,890.84",2/1/2007
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",215.31,2/1/2007
29,ORGANIC CHEMICALS,512.24,2/1/2007
30,PHARMACEUTICAL PRODUCTS,74.37,2/1/2007
31,FERTILISERS.,147.83,2/1/2007
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",48.76,2/1/2007
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",16.37,2/1/2007
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",18.45,2/1/2007
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,7.59,2/1/2007
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.3,2/1/2007
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,21.73,2/1/2007
38,MISCELLANEOUS CHEMICAL PRODUCTS.,107.17,2/1/2007
39,PLASTIC AND ARTICLES THEREOF.,240.6,2/1/2007
40,RUBBER AND ARTICLES THEREOF.,107.96,2/1/2007
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,27.91,2/1/2007
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",4.59,2/1/2007
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.11,2/1/2007
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,92.29,2/1/2007
45,CORK AND ARTICLES OF CORK.,0.25,2/1/2007
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.02,2/1/2007
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,52.87,2/1/2007
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",74.22,2/1/2007
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",41.38,2/1/2007
50,SILK,30.08,2/1/2007
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",20.72,2/1/2007
52,COTTON.,38.14,2/1/2007
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,7.53,2/1/2007
54,MAN-MADE FILAMENTS.,25.9,2/1/2007
55,MAN-MADE STAPLE FIBRES.,13.8,2/1/2007
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",6.59,2/1/2007
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,3.63,2/1/2007
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,5.74,2/1/2007
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",29.84,2/1/2007
60,KNITTED OR CROCHETED FABRICS.,8.69,2/1/2007
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",3.09,2/1/2007
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",4.99,2/1/2007
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,8.8,2/1/2007
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",9.98,2/1/2007
65,HEADGEAR AND PARTS THEREOF.,0.2,2/1/2007
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.82,2/1/2007
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.37,2/1/2007
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",16.88,2/1/2007
69,CERAMIC PRODUCTS.,30.18,2/1/2007
70,GLASS AND GLASSWARE.,26.59,2/1/2007
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","1,372.67",2/1/2007
72,IRON AND STEEL,631.39,2/1/2007
73,ARTICLES OF IRON OR STEEL,274.5,2/1/2007
74,COPPER AND ARTICLES THEREOF.,93.21,2/1/2007
75,NICKEL AND ARTICLES THEREOF.,73.93,2/1/2007
76,ALUMINIUM AND ARTICLES THEREOF.,99.45,2/1/2007
78,LEAD AND ARTICLES THEREOF.,19.23,2/1/2007
79,ZINC AND ARTICLES THEREOF.,43.03,2/1/2007
80,TIN AND ARTICLES THEREOF.,5.17,2/1/2007
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,10.06,2/1/2007
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",42.31,2/1/2007
83,MISCELLANEOUS ARTICLES OF BASE METAL.,16.76,2/1/2007
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.","1,565.48",2/1/2007
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.","1,258.72",2/1/2007
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",14.29,2/1/2007
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",115.47,2/1/2007
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",199.28,2/1/2007
89,"SHIPS, BOATS AND FLOATING STRUCTURES.",207.7,2/1/2007
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",271.94,2/1/2007
91,CLOCKS AND WATCHES AND PARTS THEREOF.,8.68,2/1/2007
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.73,2/1/2007
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.07,2/1/2007
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",35.88,2/1/2007
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",12.01,2/1/2007
