Date,HSCode,Commodity_x,Import_Value,Commodity_y,Export_Value
2007-01-01,54,MAN-MADE FILAMENTS.,30.01,MAN-MADE FILAMENTS.,77.35
2007-01-01,55,MAN-MADE STAPLE FIBRES.,16.37,MAN-MADE STAPLE FIBRES.,90.23
2007-01-01,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",6.44,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",6.89
2007-01-01,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,3.97,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,104.74
2007-01-01,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,5.64,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,8.89
2007-01-01,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",32.36,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",8.74
2007-01-01,60,KNITTED OR CROCHETED FABRICS.,5.94,KNITTED OR CROCHETED FABRICS.,6.91
2007-01-01,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2.44,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",331.53
2007-01-01,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",3.46,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",493.02
2007-01-01,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,6.6,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,191.85
2007-01-01,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",10.34,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",123.84
2007-01-01,65,HEADGEAR AND PARTS THEREOF.,0.31,HEADGEAR AND PARTS THEREOF.,1.25
2007-01-01,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.48,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.1
2007-01-01,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.41,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,11.88
2007-01-01,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",15.61,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",69.98
2007-01-01,69,CERAMIC PRODUCTS.,30.97,CERAMIC PRODUCTS.,15.21
2007-01-01,70,GLASS AND GLASSWARE.,26.2,GLASS AND GLASSWARE.,24.82
2007-01-01,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",1804.02,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",1538.45
2007-01-01,72,IRON AND STEEL,537.21,IRON AND STEEL,489.22
2007-01-01,73,ARTICLES OF IRON OR STEEL,226.22,ARTICLES OF IRON OR STEEL,286.03
2007-01-01,74,COPPER AND ARTICLES THEREOF.,83.44,COPPER AND ARTICLES THEREOF.,278.2
2007-01-01,75,NICKEL AND ARTICLES THEREOF.,67.71,NICKEL AND ARTICLES THEREOF.,2.54
2007-01-01,76,ALUMINIUM AND ARTICLES THEREOF.,103.75,ALUMINIUM AND ARTICLES THEREOF.,69.42
2007-01-01,78,LEAD AND ARTICLES THEREOF.,20.53,LEAD AND ARTICLES THEREOF.,4.54
2007-01-01,79,ZINC AND ARTICLES THEREOF.,39.44,ZINC AND ARTICLES THEREOF.,71.46
2007-01-01,80,TIN AND ARTICLES THEREOF.,4.42,TIN AND ARTICLES THEREOF.,2.57
2007-01-01,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,9.25,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,1.58
2007-01-01,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",28.73,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",34.96
2007-01-01,83,MISCELLANEOUS ARTICLES OF BASE METAL.,14.85,MISCELLANEOUS ARTICLES OF BASE METAL.,25.55
2007-01-01,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",1581.64,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",411.32
2007-01-01,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",1181.07,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",343.87
